"","site","taxa","source","Mean","SD"
"70","NFTC","Midges","Biofilm",0.393,0.076
"71","NFTC","Midges","CPOM",0.42,0.119
"72","NFTC","Midges","Hydrurus",0.187,0.132
"73","NFTC","Simuliidae","Biofilm",0.405,0.161
"74","NFTC","Simuliidae","CPOM",0.199,0.156
"75","NFTC","Simuliidae","Hydrurus",0.396,0.232
"76","NFTC","Tipula","Biofilm",0.806,0.157
"77","NFTC","Tipula","CPOM",0.109,0.134
"78","NFTC","Tipula","Hydrurus",0.084,0.088
"79","Paintbrush","Homophylax","Biofilm",0.882,0.1
"80","Paintbrush","Homophylax","CPOM",0.118,0.1
"81","Paintbrush","Lednia","Biofilm",0.85,0.126
"82","Paintbrush","Lednia","CPOM",0.15,0.126
"83","Paintbrush","Midges","Biofilm",0.638,0.324
"84","Paintbrush","Midges","CPOM",0.362,0.324
"85","Paintbrush","Simuliidae","Biofilm",0.805,0.115
"86","Paintbrush","Simuliidae","CPOM",0.195,0.115
"87","SFTC","Allomyia","Biofilm",0.64,0.087
"88","SFTC","Allomyia","CPOM",0.36,0.145
"89","SFTC","Baetidae","Biofilm",0.803,0.071
"90","SFTC","Baetidae","CPOM",0.197,0.112
"91","SFTC","Cinygmula","Biofilm",0.761,0.0735
"92","SFTC","Cinygmula","CPOM",0.239,0.127
"93","SFTC","Epeorus","Biofilm",0.756,0.109
"94","SFTC","Epeorus","CPOM",0.244,0.202
"95","SFTC","Megarcys","Biofilm",0.813,0.086
"96","SFTC","Megarcys","CPOM",0.187,0.124
"97","SFTC","Midges","Biofilm",0.329,0.0435
"98","SFTC","Midges","CPOM",0.67,0.066
"99","SFTC","Rhyacophila","Biofilm",0.412,0.124
"100","SFTC","Rhyacophila","CPOM",0.588,0.194
"101","SFTC","Simuliidae","Biofilm",0.732,0.0705
"102","SFTC","Simuliidae","CPOM",0.268,0.119
"103","SFTC","Zapada","Biofilm",0.639,0.0665
"104","SFTC","Zapada","CPOM",0.361,0.118
"105","Skillet","Agathon","Biofilm",0.562,0.199
"106","Skillet","Agathon","CPOM",0.056,0.046
"107","Skillet","Agathon","Hydrurus",0.382,0.198
"108","Skillet","Allomyia","Biofilm",0.425,0.21
"109","Skillet","Allomyia","CPOM",0.038,0.044
"110","Skillet","Allomyia","Hydrurus",0.537,0.221
"111","Skillet","Lednia","Biofilm",0.331,0.176
"112","Skillet","Lednia","CPOM",0.052,0.059
"113","Skillet","Lednia","Hydrurus",0.617,0.199
"114","Skillet","Midges","Biofilm",0.636,0.258
"115","Skillet","Midges","CPOM",0.107,0.082
"116","Skillet","Midges","Hydrurus",0.257,0.277
"117","Skillet","Rhyacophila","Biofilm",0.657,0.246
"118","Skillet","Rhyacophila","CPOM",0.03,0.035
"119","Skillet","Rhyacophila","Hydrurus",0.313,0.248
"120","Skillet","Simuliidae","Biofilm",0.408,0.148
"121","Skillet","Simuliidae","CPOM",0.068,0.056
"122","Skillet","Simuliidae","Hydrurus",0.524,0.158
"123","Wind Cave","Acari","Biofilm",0.041,0.04
"124","Wind Cave","Acari","CPOM",0.185,0.071
"125","Wind Cave","Acari","Hydrurus",0.774,0.08
"126","Wind Cave","Allomyia","Biofilm",0.031,0.039
"127","Wind Cave","Allomyia","CPOM",0.435,0.127
"128","Wind Cave","Allomyia","Hydrurus",0.533,0.133
"129","Wind Cave","Lednia","Biofilm",0.039,0.066
"130","Wind Cave","Lednia","CPOM",0.079,0.066
"131","Wind Cave","Lednia","Hydrurus",0.882,0.096
"132","Wind Cave","Megarcys","Biofilm",0.115,0.081
"133","Wind Cave","Megarcys","CPOM",0.181,0.065
"134","Wind Cave","Megarcys","Hydrurus",0.704,0.102
"135","Wind Cave","Midges","Biofilm",0.018,0.022
"136","Wind Cave","Midges","CPOM",0.617,0.102
"137","Wind Cave","Midges","Hydrurus",0.366,0.103
"138","Wind Cave","Simuliidae","Biofilm",0.045,0.066
"139","Wind Cave","Simuliidae","CPOM",0.205,0.123
"140","Wind Cave","Simuliidae","Hydrurus",0.749,0.142
"141","Wind Cave","Zapada","Biofilm",0.032,0.03
"142","Wind Cave","Zapada","CPOM",0.217,0.057
"143","Wind Cave","Zapada","Hydrurus",0.751,0.059
